group,n,mae,rmse
"('Analytics/BI', 'Scientist', 'Product Manager', 'Grad')",1,330725.32,330725.32
"('Analytics/BI', 'Scientist', 'Product Manager', 'PG')",1,13037.8,13037.8
"('Analytics/BI', 'Scientist', 'Product Manager', 'Under Grad')",1,6892.8,6892.8
"('Analytics/BI', 'Scientist', 'Research Analyst', 'Doctorate')",1,912763.48,912763.48
"('Analytics/BI', 'Scientist', 'Research Analyst', 'Grad')",2,235811.37,330314.82
"('Analytics/BI', 'Scientist', 'Research Analyst', 'PG')",3,251827.14,312289.38
"('Analytics/BI', 'Scientist', 'Research Analyst', 'Under Grad')",1,511664.93,511664.93
"('Analytics/BI', 'Scientist', 'Scientist', 'Grad')",1,154251.31,154251.31
"('Analytics/BI', 'Scientist', 'Software Developer', 'Doctorate')",1,1056045.89,1056045.89
"('Analytics/BI', 'Scientist', 'Software Developer', 'Grad')",2,244167.63,287658.7
"('Analytics/BI', 'Scientist', 'Software Developer', 'PG')",1,43022.13,43022.13
"('Analytics/BI', 'Scientist', 'Software Developer', 'Under Grad')",3,257626.59,317352.72
"('Analytics/BI', 'Scientist', 'Sr.Manager', 'Doctorate')",3,203223.27,246703.81
"('Analytics/BI', 'Scientist', 'Sr.Manager', 'PG')",4,606875.29,855561.25
"('Analytics/BI', 'Scientist', 'Web Designer', 'Doctorate')",4,1139377.95,1244731.35
"('Analytics/BI', 'Scientist', 'Web Designer', 'Grad')",3,483228.16,654092.11
"('Analytics/BI', 'Scientist', 'Web Designer', 'PG')",1,1592137.82,1592137.82
"('Analytics/BI', 'Scientist', 'Web Designer', 'Under Grad')",2,973647.82,985451.47
"('Analytics/BI', 'Senior Researcher', 'Assistant Manager', 'Grad')",1,245281.91,245281.91
"('Analytics/BI', 'Senior Researcher', 'Assistant Manager', 'PG')",4,794031.13,1105298.77
"('Analytics/BI', 'Senior Researcher', 'Assistant Manager', 'Under Grad')",1,74039.91,74039.91
"('Analytics/BI', 'Senior Researcher', 'Consultant', 'Doctorate')",3,875595.11,1162754.92
"('Analytics/BI', 'Senior Researcher', 'Consultant', 'Grad')",1,348893.27,348893.27
"('Analytics/BI', 'Senior Researcher', 'Consultant', 'PG')",3,475280.66,588283.15
"('Analytics/BI', 'Senior Researcher', 'Data Analyst', 'Doctorate')",2,546669.44,735659.97
"('Analytics/BI', 'Senior Researcher', 'Data Analyst', 'Grad')",4,203352.15,261095.07
"('Analytics/BI', 'Senior Researcher', 'Data Analyst', 'PG')",4,891616.32,1229590.2
"('Analytics/BI', 'Senior Researcher', 'Data Analyst', 'Under Grad')",2,333349.21,461165.22
"('Analytics/BI', 'Senior Researcher', 'HR', 'Doctorate')",3,552732.07,847158.02
"('Analytics/BI', 'Senior Researcher', 'HR', 'PG')",2,290099.0,371289.32
"('Analytics/BI', 'Senior Researcher', 'HR', 'Under Grad')",1,369888.92,369888.92
"('Analytics/BI', 'Senior Researcher', 'Manager', 'Doctorate')",1,34375.32,34375.32
"('Analytics/BI', 'Senior Researcher', 'Manager', 'PG')",3,240608.81,313089.51
"('Analytics/BI', 'Senior Researcher', 'Manager', 'Under Grad')",4,365951.16,593382.98
"('Analytics/BI', 'Senior Researcher', 'Marketing Manager', 'Doctorate')",1,1365963.79,1365963.79
"('Analytics/BI', 'Senior Researcher', 'Marketing Manager', 'Grad')",1,141073.2,141073.2
"('Analytics/BI', 'Senior Researcher', 'Marketing Manager', 'PG')",1,961457.79,961457.79
"('Analytics/BI', 'Senior Researcher', 'Marketing Manager', 'Under Grad')",3,262746.3,331444.08
"('Analytics/BI', 'Senior Researcher', 'Medical Officer', 'Doctorate')",1,8006.2,8006.2
"('Analytics/BI', 'Senior Researcher', 'Medical Officer', 'PG')",1,9312.4,9312.4
"('Analytics/BI', 'Senior Researcher', 'Others', 'Doctorate')",1,2200291.16,2200291.16
"('Analytics/BI', 'Senior Researcher', 'Others', 'Grad')",3,353610.18,367056.91
"('Analytics/BI', 'Senior Researcher', 'Others', 'PG')",2,37446.98,38953.71
"('Analytics/BI', 'Senior Researcher', 'Product Manager', 'Doctorate')",1,1283034.32,1283034.32
"('Analytics/BI', 'Senior Researcher', 'Product Manager', 'Grad')",2,250825.75,253997.78
"('Analytics/BI', 'Senior Researcher', 'Product Manager', 'PG')",2,384557.56,537502.9
"('Analytics/BI', 'Senior Researcher', 'Product Manager', 'Under Grad')",4,173495.18,237225.11
"('Analytics/BI', 'Senior Researcher', 'Research Analyst', 'Doctorate')",2,97811.24,135066.93
"('Analytics/BI', 'Senior Researcher', 'Research Analyst', 'Grad')",2,35910.49,50478.8
"('Analytics/BI', 'Senior Researcher', 'Research Analyst', 'PG')",3,466834.11,564567.83
"('Analytics/BI', 'Senior Researcher', 'Research Analyst', 'Under Grad')",2,200144.47,266874.93
"('Analytics/BI', 'Senior Researcher', 'Research Scientist', 'Doctorate')",1,1124525.53,1124525.53
"('Analytics/BI', 'Senior Researcher', 'Research Scientist', 'Grad')",5,36798.77,51348.23
"('Analytics/BI', 'Senior Researcher', 'Research Scientist', 'PG')",3,32137.27,33969.66
"('Analytics/BI', 'Senior Researcher', 'Research Scientist', 'Under Grad')",5,292168.48,370676.62
"('Analytics/BI', 'Senior Researcher', 'Sr.Manager', 'Doctorate')",2,14686.3,16583.42
"('Analytics/BI', 'Senior Researcher', 'Sr.Manager', 'Grad')",1,9974.8,9974.8
"('Analytics/BI', 'Senior Researcher', 'Sr.Manager', 'PG')",3,1087735.08,1331621.1
"('Analytics/BI', 'Senior Researcher', 'Sr.Manager', 'Under Grad')",3,45063.67,60628.31
"('Analytics/BI', 'Team Lead', 'Assistant Manager', 'Doctorate')",2,1754454.41,1811329.88
"('Analytics/BI', 'Team Lead', 'Assistant Manager', 'Grad')",3,738946.2,795853.83
"('Analytics/BI', 'Team Lead', 'Assistant Manager', 'PG')",3,645830.76,810049.13
"('Analytics/BI', 'Team Lead', 'Assistant Manager', 'Under Grad')",1,2156.0,2156.0
"('Analytics/BI', 'Team Lead', 'CA', 'PG')",1,15947.0,15947.0
"('Analytics/BI', 'Team Lead', 'Consultant', 'Doctorate')",2,345711.21,401324.16
"('Analytics/BI', 'Team Lead', 'Consultant', 'Grad')",2,32375.66,36751.37
"('Analytics/BI', 'Team Lead', 'Consultant', 'PG')",6,287217.21,415156.64
"('Analytics/BI', 'Team Lead', 'Consultant', 'Under Grad')",3,705377.56,794132.68
"('Analytics/BI', 'Team Lead', 'Data Analyst', 'Doctorate')",2,74874.36,75459.2
"('Analytics/BI', 'Team Lead', 'Data Analyst', 'Grad')",3,532310.65,660026.53
"('Analytics/BI', 'Team Lead', 'Data Analyst', 'PG')",3,567485.94,690760.1
"('Analytics/BI', 'Team Lead', 'Data Analyst', 'Under Grad')",5,846128.36,943916.15
"('Analytics/BI', 'Team Lead', 'Director', 'Doctorate')",1,619526.35,619526.35
"('Analytics/BI', 'Team Lead', 'Director', 'Grad')",3,481219.81,791811.88
"('Analytics/BI', 'Team Lead', 'Director', 'Under Grad')",1,205400.27,205400.27
"('Analytics/BI', 'Team Lead', 'HR', 'Doctorate')",2,839535.5,876597.36
"('Analytics/BI', 'Team Lead', 'HR', 'Grad')",3,496868.64,656866.41
"('Analytics/BI', 'Team Lead', 'HR', 'Under Grad')",5,414101.61,618857.73
"('Analytics/BI', 'Team Lead', 'Manager', 'Doctorate')",3,212529.38,329770.99
"('Analytics/BI', 'Team Lead', 'Manager', 'Grad')",1,12196.5,12196.5
"('Analytics/BI', 'Team Lead', 'Manager', 'PG')",3,408957.46,496346.45
"('Analytics/BI', 'Team Lead', 'Manager', 'Under Grad')",1,302068.67,302068.67
"('Analytics/BI', 'Team Lead', 'Marketing Manager', 'Doctorate')",2,140148.9,194106.59
"('Analytics/BI', 'Team Lead', 'Marketing Manager', 'Grad')",3,528606.8,643723.23
"('Analytics/BI', 'Team Lead', 'Marketing Manager', 'PG')",4,322630.15,453971.03
"('Analytics/BI', 'Team Lead', 'Marketing Manager', 'Under Grad')",2,222433.85,309049.63
"('Analytics/BI', 'Team Lead', 'Medical Officer', 'Doctorate')",1,352650.63,352650.63
"('Analytics/BI', 'Team Lead', 'Medical Officer', 'Grad')",2,613508.07,633292.73
"('Analytics/BI', 'Team Lead', 'Medical Officer', 'PG')",1,1559472.63,1559472.63
"('Analytics/BI', 'Team Lead', 'Medical Officer', 'Under Grad')",1,918277.07,918277.07
"('Analytics/BI', 'Team Lead', 'Network Engineer', 'Doctorate')",3,37601.74,51427.48
"('Analytics/BI', 'Team Lead', 'Network Engineer', 'Grad')",1,179226.6,179226.6
"('Analytics/BI', 'Team Lead', 'Network Engineer', 'Under Grad')",1,718103.6,718103.6
"('Analytics/BI', 'Team Lead', 'Others', 'Doctorate')",5,397220.85,527844.36
"('Analytics/BI', 'Team Lead', 'Others', 'Grad')",3,477333.19,618729.48
"('Analytics/BI', 'Team Lead', 'Others', 'PG')",4,1239982.16,1455822.79
"('Analytics/BI', 'Team Lead', 'Others', 'Under Grad')",3,410866.21,585051.52
"('Analytics/BI', 'Team Lead', 'Product Manager', 'Doctorate')",1,795262.18,795262.18
"('Analytics/BI', 'Team Lead', 'Product Manager', 'Grad')",2,791538.18,812478.73
"('Analytics/BI', 'Team Lead', 'Product Manager', 'PG')",1,299076.32,299076.32
"('Analytics/BI', 'Team Lead', 'Product Manager', 'Under Grad')",3,185589.39,298054.35
"('Analytics/BI', 'Team Lead', 'Research Analyst', 'Doctorate')",2,176243.64,239973.81
"('Analytics/BI', 'Team Lead', 'Research Analyst', 'Grad')",2,219617.22,293968.47
"('Analytics/BI', 'Team Lead', 'Research Analyst', 'PG')",1,23621.0,23621.0
"('Analytics/BI', 'Team Lead', 'Research Analyst', 'Under Grad')",2,249501.52,345089.44
"('Analytics/BI', 'Team Lead', 'Research Scientist', 'Doctorate')",1,830.5,830.5
"('Analytics/BI', 'Team Lead', 'Research Scientist', 'Grad')",1,7763.0,7763.0
"('Analytics/BI', 'Team Lead', 'Research Scientist', 'PG')",1,655260.03,655260.03
"('Analytics/BI', 'Team Lead', 'Research Scientist', 'Under Grad')",1,616331.03,616331.03
"('Analytics/BI', 'Team Lead', 'Software Developer', 'Doctorate')",3,35351.37,49560.58
"('Analytics/BI', 'Team Lead', 'Software Developer', 'Grad')",1,11556.8,11556.8
"('Analytics/BI', 'Team Lead', 'Software Developer', 'PG')",4,774536.57,954241.2
"('Analytics/BI', 'Team Lead', 'Sr.Manager', 'Doctorate')",1,49504.8,49504.8
"('Analytics/BI', 'Team Lead', 'Sr.Manager', 'Grad')",4,723673.58,805130.62
"('Analytics/BI', 'Team Lead', 'Sr.Manager', 'PG')",1,131.9,131.9
"('Analytics/BI', 'Team Lead', 'Sr.Manager', 'Under Grad')",4,725396.83,857699.92
"('Analytics/BI', 'Team Lead', 'Web Designer', 'Doctorate')",3,157103.82,188249.51
"('Analytics/BI', 'Team Lead', 'Web Designer', 'Grad')",4,109551.93,199742.99
"('Analytics/BI', 'Team Lead', 'Web Designer', 'PG')",3,676117.11,817132.91
"('Analytics/BI', 'Team Lead', 'Web Designer', 'Under Grad')",1,53451.32,53451.32
"('Banking', 'Analyst', 'Assistant Manager', 'Doctorate')",4,253337.24,355618.77
"('Banking', 'Analyst', 'Assistant Manager', 'Grad')",2,152519.91,153039.81
"('Banking', 'Analyst', 'Assistant Manager', 'PG')",1,16442.5,16442.5
"('Banking', 'Analyst', 'CA', 'Grad')",2,33560.54,37969.17
"('Banking', 'Analyst', 'Consultant', 'Grad')",4,142888.69,232312.49
"('Banking', 'Analyst', 'Consultant', 'PG')",2,805248.71,870030.41
"('Banking', 'Analyst', 'Consultant', 'Under Grad')",1,1235000.71,1235000.71
"('Banking', 'Analyst', 'Data Analyst', 'Doctorate')",2,123491.59,166778.67
"('Banking', 'Analyst', 'Data Analyst', 'Grad')",3,169041.13,217911.61
"('Banking', 'Analyst', 'Data Analyst', 'PG')",2,1838148.59,1872668.11
"('Banking', 'Analyst', 'Data Analyst', 'Under Grad')",5,128763.74,245268.75
"('Banking', 'Analyst', 'Director', 'Grad')",2,11624.2,12222.12
"('Banking', 'Analyst', 'Director', 'PG')",1,388670.35,388670.35
"('Banking', 'Analyst', 'HR', 'Doctorate')",3,1107075.67,1308626.05
"('Banking', 'Analyst', 'HR', 'PG')",2,13746.5,14261.34
"('Banking', 'Analyst', 'HR', 'Under Grad')",4,153978.85,229863.98
"('Banking', 'Analyst', 'Manager', 'Doctorate')",4,655727.21,904613.39
"('Banking', 'Analyst', 'Manager', 'Grad')",1,3707.6,3707.6
"('Banking', 'Analyst', 'Manager', 'PG')",2,1098337.5,1149347.86
"('Banking', 'Analyst', 'Manager', 'Under Grad')",3,115540.58,138623.16
"('Banking', 'Analyst', 'Marketing Manager', 'Doctorate')",2,339300.0,433713.06
"('Banking', 'Analyst', 'Marketing Manager', 'Grad')",4,506939.22,706122.98
"('Banking', 'Analyst', 'Marketing Manager', 'PG')",3,467841.26,586080.95
"('Banking', 'Analyst', 'Marketing Manager', 'Under Grad')",4,382902.77,570582.84
"('Banking', 'Analyst', 'Medical Officer', 'Doctorate')",1,26667.1,26667.1
"('Banking', 'Analyst', 'Medical Officer', 'PG')",2,589204.35,616908.16
"('Banking', 'Analyst', 'Medical Officer', 'Under Grad')",1,995608.07,995608.07
"('Banking', 'Analyst', 'Network Engineer', 'Doctorate')",1,11083.0,11083.0
"('Banking', 'Analyst', 'Network Engineer', 'Grad')",2,513918.7,726544.2
"('Banking', 'Analyst', 'Network Engineer', 'PG')",5,272784.8,444656.27
"('Banking', 'Analyst', 'Network Engineer', 'Under Grad')",1,7206.2,7206.2
"('Banking', 'Analyst', 'Others', 'Doctorate')",7,577040.34,934207.36
"('Banking', 'Analyst', 'Others', 'Grad')",1,173928.16,173928.16
"('Banking', 'Analyst', 'Others', 'PG')",5,508779.3,657910.78
"('Banking', 'Analyst', 'Others', 'Under Grad')",2,683053.72,776846.27
"('Banking', 'Analyst', 'Product Manager', 'Doctorate')",2,683625.57,962145.54
"('Banking', 'Analyst', 'Product Manager', 'Grad')",2,277843.75,277851.14
"('Banking', 'Analyst', 'Product Manager', 'PG')",3,9209.07,12054.93
"('Banking', 'Analyst', 'Product Manager', 'Under Grad')",5,397502.74,613827.07
"('Banking', 'Analyst', 'Research Analyst', 'Doctorate')",1,833401.48,833401.48
"('Banking', 'Analyst', 'Research Analyst', 'Grad')",4,403206.96,587909.95
"('Banking', 'Analyst', 'Research Analyst', 'PG')",1,2348199.48,2348199.48
"('Banking', 'Analyst', 'Research Analyst', 'Under Grad')",2,96481.47,134089.18
"('Banking', 'Analyst', 'Research Scientist', 'Under Grad')",1,793502.03,793502.03
"('Banking', 'Analyst', 'Sr.Manager', 'Doctorate')",3,702927.31,1157570.46
"('Banking', 'Analyst', 'Sr.Manager', 'Grad')",4,632468.78,799691.96
"('Banking', 'Analyst', 'Sr.Manager', 'Under Grad')",3,282875.57,473060.84
"('Banking', 'Analyst', 'Web Designer', 'Grad')",2,5607.1,7243.11
"('Banking', 'Analyst', 'Web Designer', 'PG')",2,991976.82,1117304.46
"('Banking', 'Associate', 'Assistant Manager', 'Doctorate')",1,205182.34,205182.34
"('Banking', 'Associate', 'CA', 'Doctorate')",1,127239.0,127239.0
"('Banking', 'Associate', 'CA', 'Under Grad')",1,1050359.0,1050359.0
"('Banking', 'Associate', 'Consultant', 'Doctorate')",2,317497.71,341728.65
"('Banking', 'Associate', 'Consultant', 'Grad')",1,1235870.71,1235870.71
"('Banking', 'Associate', 'Consultant', 'PG')",2,638713.71,670540.89
"('Banking', 'Associate', 'Consultant', 'Under Grad')",1,951973.71,951973.71
"('Banking', 'Associate', 'Data Analyst', 'Doctorate')",1,435086.93,435086.93
"('Banking', 'Associate', 'Data Analyst', 'Grad')",1,983891.93,983891.93
"('Banking', 'Associate', 'Data Analyst', 'Under Grad')",2,868465.43,882458.18
"('Banking', 'Associate', 'Director', 'Grad')",2,1251684.85,1252125.94
"('Banking', 'Associate', 'Director', 'PG')",1,1314211.35,1314211.35
"('Banking', 'Associate', 'HR', 'Doctorate')",2,214569.66,285484.27
"('Banking', 'Associate', 'HR', 'Grad')",2,912898.92,970710.98
"('Banking', 'Associate', 'HR', 'PG')",4,1071173.92,1073341.18
"('Banking', 'Associate', 'HR', 'Under Grad')",1,1161358.92,1161358.92
"('Banking', 'Associate', 'Manager', 'Doctorate')",1,721746.67,721746.67
"('Banking', 'Associate', 'Manager', 'Grad')",1,1131890.67,1131890.67
"('Banking', 'Associate', 'Marketing Manager', 'Grad')",3,759205.2,886556.59
"('Banking', 'Associate', 'Marketing Manager', 'Under Grad')",2,1176181.7,1177091.16
"('Banking', 'Associate', 'Medical Officer', 'Doctorate')",3,326395.35,396926.27
"('Banking', 'Associate', 'Medical Officer', 'PG')",2,436448.07,437547.76
"('Banking', 'Associate', 'Network Engineer', 'Doctorate')",2,423871.3,590034.96
"('Banking', 'Associate', 'Network Engineer', 'Grad')",3,676276.73,827019.54
"('Banking', 'Associate', 'Network Engineer', 'PG')",1,89580.6,89580.6
"('Banking', 'Associate', 'Others', 'Doctorate')",1,62626.22,62626.22
"('Banking', 'Associate', 'Others', 'Grad')",2,1151578.72,1151580.55
"('Banking', 'Associate', 'Others', 'PG')",1,711258.22,711258.22
"('Banking', 'Associate', 'Others', 'Under Grad')",2,893453.72,957242.9
"('Banking', 'Associate', 'Product Manager', 'Doctorate')",1,809336.18,809336.18
"('Banking', 'Associate', 'Product Manager', 'Under Grad')",2,1096769.18,1100982.5
"('Banking', 'Associate', 'Research Analyst', 'Doctorate')",1,55130.93,55130.93
"('Banking', 'Associate', 'Research Analyst', 'Grad')",1,936803.93,936803.93
"('Banking', 'Associate', 'Research Analyst', 'PG')",2,785106.43,789023.68
"('Banking', 'Associate', 'Research Analyst', 'Under Grad')",1,935901.93,935901.93
"('Banking', 'Associate', 'Research Scientist', 'Grad')",1,1665844.03,1665844.03
"('Banking', 'Associate', 'Software Developer', 'Grad')",1,1159898.89,1159898.89
"('Banking', 'Associate', 'Software Developer', 'PG')",2,686988.39,718113.75
"('Banking', 'Associate', 'Sr.Manager', 'Doctorate')",1,5815.1,5815.1
"('Banking', 'Associate', 'Sr.Manager', 'Grad')",1,1040063.4,1040063.4
"('Banking', 'Associate', 'Sr.Manager', 'Under Grad')",1,1170492.4,1170492.4
"('Banking', 'Associate', 'Web Designer', 'PG')",1,626793.32,626793.32
"('Banking', 'Associate', 'Web Designer', 'Under Grad')",1,1135474.32,1135474.32
"('Banking', 'Bio statistician', 'Assistant Manager', 'Doctorate')",3,705004.39,757722.67
"('Banking', 'Bio statistician', 'Assistant Manager', 'Grad')",1,437572.34,437572.34
"('Banking', 'Bio statistician', 'Assistant Manager', 'PG')",1,1165884.91,1165884.91
"('Banking', 'Bio statistician', 'CA', 'Grad')",2,936572.0,936579.5
"('Banking', 'Bio statistician', 'CA', 'PG')",3,278137.36,393400.32
"('Banking', 'Bio statistician', 'Consultant', 'Doctorate')",3,361726.27,471495.63
"('Banking', 'Bio statistician', 'Consultant', 'Grad')",4,698840.3,846219.23
"('Banking', 'Bio statistician', 'Consultant', 'PG')",6,825205.56,872844.09
"('Banking', 'Bio statistician', 'Consultant', 'Under Grad')",1,864943.71,864943.71
"('Banking', 'Bio statistician', 'Data Analyst', 'Doctorate')",2,720567.59,985569.28
"('Banking', 'Bio statistician', 'Data Analyst', 'Grad')",1,330605.09,330605.09
"('Banking', 'Bio statistician', 'Data Analyst', 'Under Grad')",2,653290.43,872117.34
"('Banking', 'Bio statistician', 'Director', 'Doctorate')",2,7139.65,8886.79
"('Banking', 'Bio statistician', 'Director', 'Grad')",3,428400.58,732819.5
"('Banking', 'Bio statistician', 'Director', 'PG')",2,1212212.35,1228919.77
"('Banking', 'Bio statistician', 'HR', 'Doctorate')",3,1353517.33,1611856.18
"('Banking', 'Bio statistician', 'HR', 'Grad')",2,571440.36,803429.26
"('Banking', 'Bio statistician', 'HR', 'PG')",6,788296.12,926789.57
"('Banking', 'Bio statistician', 'HR', 'Under Grad')",3,8300.33,10888.96
"('Banking', 'Bio statistician', 'Manager', 'Doctorate')",3,1662373.98,1681737.81
"('Banking', 'Bio statistician', 'Manager', 'Grad')",3,500093.62,661129.91
"('Banking', 'Bio statistician', 'Manager', 'PG')",2,793138.0,1112006.85
"('Banking', 'Bio statistician', 'Manager', 'Under Grad')",2,574409.04,807816.23
"('Banking', 'Bio statistician', 'Marketing Manager', 'Doctorate')",1,879315.2,879315.2
"('Banking', 'Bio statistician', 'Marketing Manager', 'Grad')",2,256027.0,352821.64
"('Banking', 'Bio statistician', 'Marketing Manager', 'PG')",1,983832.79,983832.79
"('Banking', 'Bio statistician', 'Marketing Manager', 'Under Grad')",2,140133.45,195173.51
"('Banking', 'Bio statistician', 'Medical Officer', 'Doctorate')",1,2203283.63,2203283.63
"('Banking', 'Bio statistician', 'Medical Officer', 'Grad')",1,760846.07,760846.07
"('Banking', 'Bio statistician', 'Medical Officer', 'PG')",1,439451.07,439451.07
"('Banking', 'Bio statistician', 'Medical Officer', 'Under Grad')",2,171256.56,228826.9
"('Banking', 'Bio statistician', 'Network Engineer', 'Doctorate')",3,99770.04,161355.13
"('Banking', 'Bio statistician', 'Network Engineer', 'Grad')",3,832889.6,869471.4
"('Banking', 'Bio statistician', 'Network Engineer', 'Under Grad')",3,312163.67,520100.88
"('Banking', 'Bio statistician', 'Others', 'Doctorate')",1,1604307.16,1604307.16
"('Banking', 'Bio statistician', 'Others', 'Grad')",3,798913.48,967654.06
"('Banking', 'Bio statistician', 'Others', 'PG')",4,658597.59,766880.48
"('Banking', 'Bio statistician', 'Others', 'Under Grad')",2,911878.72,964408.6
"('Banking', 'Bio statistician', 'Product Manager', 'Doctorate')",1,523183.18,523183.18
"('Banking', 'Bio statistician', 'Product Manager', 'Grad')",1,1141783.18,1141783.18
"('Banking', 'Bio statistician', 'Product Manager', 'PG')",1,15463.5,15463.5
"('Banking', 'Bio statistician', 'Product Manager', 'Under Grad')",3,406764.85,488783.05
"('Banking', 'Bio statistician', 'Research Analyst', 'Doctorate')",4,1157302.35,1183686.49
"('Banking', 'Bio statistician', 'Research Analyst', 'Grad')",2,206838.21,227211.89
"('Banking', 'Bio statistician', 'Research Analyst', 'PG')",1,1417320.48,1417320.48
"('Banking', 'Bio statistician', 'Research Analyst', 'Under Grad')",2,380115.71,517853.12
"('Banking', 'Bio statistician', 'Research Scientist', 'Doctorate')",1,53969.5,53969.5
"('Banking', 'Bio statistician', 'Research Scientist', 'Grad')",3,46182.34,68825.14
"('Banking', 'Bio statistician', 'Research Scientist', 'PG')",1,950684.53,950684.53
"('Banking', 'Bio statistician', 'Research Scientist', 'Under Grad')",2,573726.03,575660.21
"('Banking', 'Bio statistician', 'Software Developer', 'Doctorate')",1,17336.4,17336.4
"('Banking', 'Bio statistician', 'Software Developer', 'Grad')",2,134754.96,179962.27
"('Banking', 'Bio statistician', 'Software Developer', 'Under Grad')",2,623294.89,723017.98
"('Banking', 'Bio statistician', 'Sr.Manager', 'Doctorate')",5,859141.77,1388101.72
"('Banking', 'Bio statistician', 'Sr.Manager', 'Grad')",2,111295.63,113627.64
"('Banking', 'Bio statistician', 'Sr.Manager', 'PG')",3,1244660.46,1484713.46
"('Banking', 'Bio statistician', 'Sr.Manager', 'Under Grad')",4,345449.8,620289.19
"('Banking', 'Bio statistician', 'Web Designer', 'Doctorate')",2,905737.32,1141233.23
"('Banking', 'Bio statistician', 'Web Designer', 'PG')",1,423640.32,423640.32
"('Banking', 'Bio statistician', 'Web Designer', 'Under Grad')",2,685082.57,720381.39
"('Banking', 'Business Analyst', 'Assistant Manager', 'Doctorate')",1,29330.2,29330.2
"('Banking', 'Business Analyst', 'Assistant Manager', 'Grad')",5,266883.68,474601.83
"('Banking', 'Business Analyst', 'Assistant Manager', 'Under Grad')",1,123104.34,123104.34
"('Banking', 'Business Analyst', 'CA', 'Grad')",2,294509.5,354596.03
"('Banking', 'Business Analyst', 'Consultant', 'Doctorate')",2,413703.49,418667.8
"('Banking', 'Business Analyst', 'Consultant', 'Grad')",2,111249.73,140788.32
"('Banking', 'Business Analyst', 'Consultant', 'PG')",3,180489.24,284144.78
"('Banking', 'Business Analyst', 'Consultant', 'Under Grad')",2,10171.1,10606.66
"('Banking', 'Business Analyst', 'Data Analyst', 'Doctorate')",1,187434.09,187434.09
"('Banking', 'Business Analyst', 'Data Analyst', 'Grad')",4,436989.26,549976.9
"('Banking', 'Business Analyst', 'Data Analyst', 'PG')",4,489671.82,658625.38
"('Banking', 'Business Analyst', 'Data Analyst', 'Under Grad')",2,55738.79,58671.12
"('Banking', 'Business Analyst', 'Director', 'Grad')",1,1311153.35,1311153.35
"('Banking', 'Business Analyst', 'Director', 'PG')",1,1036099.27,1036099.27
"('Banking', 'Business Analyst', 'Director', 'Under Grad')",1,20204.0,20204.0
"('Banking', 'Business Analyst', 'HR', 'Doctorate')",5,748110.85,1021894.24
"('Banking', 'Business Analyst', 'HR', 'PG')",4,596549.63,832725.36
"('Banking', 'Business Analyst', 'HR', 'Under Grad')",2,5798.5,6063.65
"('Banking', 'Business Analyst', 'Manager', 'Doctorate')",2,235683.16,301544.31
"('Banking', 'Business Analyst', 'Manager', 'Grad')",2,497704.67,631642.16
"('Banking', 'Business Analyst', 'Manager', 'PG')",1,519136.32,519136.32
"('Banking', 'Business Analyst', 'Marketing Manager', 'Doctorate')",4,39524.27,52204.85
"('Banking', 'Business Analyst', 'Marketing Manager', 'Grad')",5,427072.2,549816.09
"('Banking', 'Business Analyst', 'Marketing Manager', 'PG')",5,689933.38,899184.88
"('Banking', 'Business Analyst', 'Marketing Manager', 'Under Grad')",1,25190.0,25190.0
"('Banking', 'Business Analyst', 'Network Engineer', 'Doctorate')",3,444899.21,461356.04
"('Banking', 'Business Analyst', 'Network Engineer', 'Grad')",1,58584.21,58584.21
"('Banking', 'Business Analyst', 'Network Engineer', 'PG')",2,122484.01,171497.82
"('Banking', 'Business Analyst', 'Network Engineer', 'Under Grad')",5,693821.16,818715.7
"('Banking', 'Business Analyst', 'Others', 'Doctorate')",2,1158604.16,1385203.68
"('Banking', 'Business Analyst', 'Others', 'Grad')",2,104981.69,116710.7
"('Banking', 'Business Analyst', 'Others', 'PG')",3,448258.55,563720.57
"('Banking', 'Business Analyst', 'Product Manager', 'Doctorate')",3,886680.05,1126137.53
"('Banking', 'Business Analyst', 'Product Manager', 'Grad')",1,9142.2,9142.2
"('Banking', 'Business Analyst', 'Product Manager', 'PG')",4,896057.21,1075240.69
"('Banking', 'Business Analyst', 'Product Manager', 'Under Grad')",3,157093.26,220169.99
"('Banking', 'Business Analyst', 'Research Analyst', 'Grad')",2,665653.43,760721.87
"('Banking', 'Business Analyst', 'Research Analyst', 'PG')",4,372005.95,584080.47
"('Banking', 'Business Analyst', 'Research Scientist', 'Doctorate')",2,1576634.53,1607162.52
"('Banking', 'Business Analyst', 'Research Scientist', 'Grad')",1,570946.03,570946.03
"('Banking', 'Business Analyst', 'Research Scientist', 'Under Grad')",1,2701.0,2701.0
"('Banking', 'Business Analyst', 'Scientist', 'Under Grad')",1,257215.31,257215.31
"('Banking', 'Business Analyst', 'Software Developer', 'Doctorate')",4,950607.65,1285312.09
"('Banking', 'Business Analyst', 'Software Developer', 'Grad')",2,242817.66,334601.55
"('Banking', 'Business Analyst', 'Software Developer', 'PG')",2,695639.63,749020.36
"('Banking', 'Business Analyst', 'Software Developer', 'Under Grad')",1,23812.8,23812.8
"('Banking', 'Business Analyst', 'Sr.Manager', 'Doctorate')",2,23549.1,29916.73
"('Banking', 'Business Analyst', 'Sr.Manager', 'Grad')",5,344177.47,486222.86
"('Banking', 'Business Analyst', 'Sr.Manager', 'PG')",3,558596.44,736881.71
